task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
feature	lake	gxi	30	81918	3400329	0.091367207467556	62	40
feature	lake	gxi	31	94873	3443115	0.09036286175251007	83	40
feature	lake	gxi	32	40792	3108998	-0.09023815393447876	61	40
feature	lake	gxi	33	20998	2912664	0.08847638219594955	77	40
feature	lake	gxi	34	88705	3423487	-0.08747448027133942	69	40
feature	lake	gxi	35	71914	3349692	0.08512818068265915	63	40
feature	lake	gxi	36	92590	3434306	0.08505058288574219	61	40
feature	lake	gxi	37	105054	3475794	-0.0823824554681778	67	40
feature	lake	gxi	38	98049	3453139	0.08160220086574554	73	40
feature	lake	gxi	39	52166	3225345	0.0814448893070221	74	40
feature	lake	gxi	40	64995	3326663	-0.07928808778524399	117	40
feature	lake	gxi	41	46209	3162820	0.07739049196243286	70	40
feature	lake	gxi	42	92203	3433694	0.07547929137945175	74	40
feature	lake	gxi	43	35918	3055601	-0.07493087649345398	68	40
feature	lake	gxi	44	2317	2811809	-0.07429832220077515	115	40
feature	lake	gxi	45	10272	2855883	-0.07306484878063202	72	40
feature	lake	gxi	46	34204	3029524	-0.07240740209817886	69	40
feature	lake	gxi	47	56013	3255888	0.07094457000494003	77	40
feature	lake	gxi	48	14405	2867831	0.07073742896318436	105	40
feature	lake	gxi	49	19861	2907957	0.07012243568897247	65	40
feature	lake	gxi	50	19121	2903989	0.0699041336774826	132	40
feature	midden	ig	1	70924	3344861	0.16314661502838135	61	40
feature	midden	ig	2	10249	2855824	0.13658328354358673	61	40
feature	midden	ig	3	93145	3437749	0.1028420478105545	64	40
feature	midden	ig	4	78736	3391086	0.0943889319896698	68	40
feature	midden	ig	5	31889	3023029	0.08183329552412033	83	40
feature	midden	ig	6	101159	3462275	0.07885961979627609	62	40
feature	midden	ig	7	40242	3086093	0.07679378241300583	73	40
feature	midden	ig	8	99387	3457586	0.07159830629825592	67	40
feature	midden	ig	9	105242	3476150	0.06408639252185822	84	40
feature	midden	ig	10	63578	3321701	0.055188607424497604	71	40
feature	midden	ig	11	37895	3079080	0.05380721017718315	69	40
feature	midden	ig	12	96310	3448210	0.05279483646154404	61	40
feature	midden	ig	13	105411	3476413	0.05202096700668335	87	40
feature	midden	ig	14	77085	3385494	0.05166220664978027	65	40
feature	midden	ig	15	64995	3326663	0.04933556914329529	117	40
feature	midden	ig	16	97468	3449943	0.04799771308898926	156	40
feature	midden	ig	17	32145	3023679	0.046766504645347595	67	40
feature	midden	ig	18	41496	3110119	0.04554728791117668	145	40
feature	midden	ig	19	87903	3419001	0.043077126145362854	67	40
feature	midden	ig	20	4737	2821412	0.042606618255376816	84	40
feature	midden	ig	21	44025	3135386	0.04244314879179001	70	40
feature	midden	ig	22	2317	2811809	0.040550701320171356	115	40
feature	midden	ig	23	2634	2812130	0.040316201746463776	156	40
feature	midden	ig	24	99522	3458410	0.03997186943888664	63	40
feature	midden	ig	25	42883	3130914	0.03841467574238777	76	40
feature	midden	ig	26	46906	3163832	0.037591952830553055	76	40
feature	midden	ig	27	102362	3465923	0.03602459281682968	78	40
feature	midden	ig	28	107899	3486275	0.034977544099092484	62	40
feature	midden	ig	29	90818	3430514	0.03492805361747742	61	40
feature	midden	ig	30	105244	3476154	0.03481115400791168	84	40
feature	midden	ig	31	30477	3000256	0.0337705984711647	61	40
feature	midden	ig	32	46892	3163816	0.03351617231965065	68	40
feature	midden	ig	33	102182	3465538	0.03291743993759155	61	40
feature	midden	ig	34	93568	3438610	0.03275927156209946	89	40
feature	midden	ig	35	60518	3291813	0.0324941948056221	61	40
feature	midden	ig	36	10372	2856150	0.032224155962467194	64	40
feature	midden	ig	37	9861	2834815	0.03176821023225784	112	40
feature	midden	ig	38	480	2807158	0.031604163348674774	90	40
feature	midden	ig	39	63500	3321597	0.03152723237872124	74	40
feature	midden	ig	40	53910	3250133	0.03121585212647915	73	40
