task	regime	arm	n_classes	f1_fraction	f1_arm	delta	ci_low	ci_high	frac_boot_positive	verdict
sample_host	medium-shot	offlist_shuffled	3	0.32101984644357523	0.2444733473718981	-0.07654649907167713	-0.36122201415633204	0.12593593615595275	0.318314803978935	tie
sample_host	many-shot	abundance	2	0.7451724137931035	0.8185034905885886	0.07333107679548512	-0.013994861436463293	0.08549081109856203	0.8825	tie
sample_host	many-shot	presence_absence	2	0.7451724137931035	0.7578449017402236	0.012672487947120059	-0.05506188879772128	0.031463096010483006	0.6595	tie
sample_host	many-shot	frac_plus_kmer4	2	0.7451724137931035	0.761903204965565	0.016730791172461457	-0.060846755926003596	0.034790898038628656	0.7155	tie
sample_host	many-shot	frac_plus_clusters	2	0.7451724137931035	0.7445164080264439	-0.0006560057666595842	-0.012531627097144301	0.06695157511767388	0.567	tie
sample_host	many-shot	seq_encoder	2	0.7451724137931035	0.4007523148148148	-0.3444200989782887	-0.45875588513195664	-0.016143844195239905	0.0045	WORSE
sample_host	many-shot	seq_encoder_shuffled	2	0.7451724137931035	0.39743215640501894	-0.34774025738808456	-0.4574535539908085	-0.02502757179133681	0.0035	WORSE
sample_host	many-shot	attn_pool	2	0.7451724137931035	0.6906424581005586	-0.05452995569254493	-0.23134677260397024	-0.025228900274679736	0.0	WORSE
sample_host	many-shot	attn_pool_shuffled	2	0.7451724137931035	0.7890083307738643	0.043835916980760836	-0.33721253631638665	0.12648709019057283	0.611	tie
sample_host	many-shot	dna_max	2	0.7451724137931035	0.7919010073824853	0.04672859358938175	-0.04668866244483418	0.06742382343993059	0.7335	tie
sample_host	many-shot	dna_mean	2	0.7451724137931035	0.740162404590785	-0.005010009202318533	-0.02687424072675311	0.03876716326050527	0.3125	tie
sample_host	many-shot	dna_max_shuffled	2	0.7451724137931035	0.734201278480735	-0.010971135312368485	-0.041036872784434644	0.01798657825633152	0.1345	tie
sample_host	many-shot	dna_mean_shuffled	2	0.7451724137931035	0.7825417020073508	0.03736928821424734	-0.0663578671936288	0.05635538679056838	0.741	tie
sample_host	many-shot	offlist	2	0.7451724137931035	0.7975092061384792	0.05233679234537569	-0.10746953997183409	0.08857347714985529	0.643	tie
sample_host	many-shot	offlist_shuffled	2	0.7451724137931035	0.7304015126237349	-0.014770901169368633	-0.029772156833243232	0.04909054189997306	0.282	tie
material	few-shot	abundance	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	presence_absence	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	frac_plus_kmer4	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	frac_plus_clusters	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	seq_encoder	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	seq_encoder_shuffled	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	attn_pool	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	attn_pool_shuffled	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	dna_max	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	dna_mean	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	dna_max_shuffled	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	dna_mean_shuffled	2	0.0	0.0	0.0	0.0	0.0	0.0	tie
material	few-shot	offlist	2	0.0	0.02857142857142857	0.02857142857142857	0.0	0.18181818181818182	0.6502787633046123	tie
material	few-shot	offlist_shuffled	2	0.0	0.21621621621621623	0.21621621621621623	0.0	0.5551724137931029	0.8819338422391858	tie
material	medium-shot	abundance	3	0.3976830723544576	0.21641074224660847	-0.18127233010784913	-0.34339764933778627	-0.026771594556769633	0.0055	WORSE
material	medium-shot	presence_absence	3	0.3976830723544576	0.2797343410773538	-0.11794873127710381	-0.5051182161068913	0.2728223146420125	0.295	tie
material	medium-shot	frac_plus_kmer4	3	0.3976830723544576	0.22975991066443327	-0.16792316169002433	-0.24757478128266439	-0.006404992371578837	0.016	WORSE
material	medium-shot	frac_plus_clusters	3	0.3976830723544576	0.33711399711399714	-0.06056907524046046	-0.2640356709650988	0.2443977022940594	0.344	tie
material	medium-shot	seq_encoder	3	0.3976830723544576	0.0	-0.3976830723544576	-0.701329945425558	-0.12352808053184425	0.0	WORSE
material	medium-shot	seq_encoder_shuffled	3	0.3976830723544576	0.0	-0.3976830723544576	-0.7109429013082506	-0.11741017932239534	0.0	WORSE
material	medium-shot	attn_pool	3	0.3976830723544576	0.08365899551309885	-0.31402407684135875	-0.6266420346103747	0.005972311261967098	0.031	tie
material	medium-shot	attn_pool_shuffled	3	0.3976830723544576	0.029197080291970805	-0.3684859920624868	-0.6475895122060212	-0.11678990980223458	0.0	WORSE
material	medium-shot	dna_max	3	0.3976830723544576	0.39528114098387096	-0.0024019313705866407	-0.28702037321832424	0.18737428168345868	0.5265	tie
material	medium-shot	dna_mean	3	0.3976830723544576	0.33180180946708643	-0.06588126288737117	-0.28415114458951213	0.16145346545902173	0.3485	tie
material	medium-shot	dna_max_shuffled	3	0.3976830723544576	0.3847464520410129	-0.012936620313444724	-0.2398436065128033	0.3236635970116726	0.521	tie
material	medium-shot	dna_mean_shuffled	3	0.3976830723544576	0.36620909029888987	-0.03147398205556773	-0.24571007555052207	0.17088034754160153	0.4615	tie
material	medium-shot	offlist	3	0.3976830723544576	0.5134337340219693	0.11575066166751175	-0.27207137081765664	0.36687254908136563	0.8185	tie
material	medium-shot	offlist_shuffled	3	0.3976830723544576	0.4403632123535673	0.04268013999910969	-0.25034895429871706	0.2737460133954815	0.6795	tie
material	many-shot	abundance	6	0.44096824040762	0.4434202287517472	0.0024519883441271872	-0.03043864391839883	0.03531663366882804	0.558	tie
material	many-shot	presence_absence	6	0.44096824040762	0.45193858841282736	0.010970348005207353	-0.044525161877789654	0.04739219414189506	0.6095	tie
material	many-shot	frac_plus_kmer4	6	0.44096824040762	0.48219389939485735	0.041225658987237346	-0.07152485985228506	0.13965109061418093	0.7445	tie
material	many-shot	frac_plus_clusters	6	0.44096824040762	0.46822506007148806	0.02725681966386806	-0.044370449576875165	0.08601355835043281	0.7175	tie
material	many-shot	seq_encoder	6	0.44096824040762	0.25167838923370006	-0.18928985117391994	-0.28473274297338985	-0.07501092753335861	0.0	WORSE
material	many-shot	seq_encoder_shuffled	6	0.44096824040762	0.24746492027442604	-0.19350332013319396	-0.28750459255689015	-0.08318250109414708	0.0	WORSE
material	many-shot	attn_pool	6	0.44096824040762	0.40261237943281564	-0.03835586097480437	-0.12214418982947448	0.03767595322601276	0.19	tie
