task	BioProject	project_name	N_total	N_wrong	error_rate	N_conf_wrong	conf_wrong_rate	mean_confidence_on_errors
sample_host	PRJEB46022	Fagernas2022	16	3	0.1875	0	0.0	
sample_host	PRJEB46821	Zimmermann2023	1	0	0.0	0	0.0	
sample_host	PRJEB52394	Velsko2022	28	3	0.1071	0	0.0	
sample_host	PRJEB55522	Kjaer2022	1	0	0.0	0	0.0	
sample_host	PRJEB56776	Kimsis2023	1	0	0.0	0	0.0	
sample_host	PRJEB58818	Fontani2023	1	0	0.0	0	0.0	
sample_host	PRJEB60029		3	3	1.0	0	0.0	
sample_host	PRJEB64128	Jackson2024	73	20	0.274	0	0.0	
sample_host	PRJEB65298		4	2	0.5	0	0.0	
sample_host	PRJEB66300	Buchwald2024	4	0	0.0	0	0.0	
sample_host	PRJEB67363	Fiorin2024	4	0	0.0	0	0.0	
sample_host	PRJEB6766	Smith2015	2	0	0.0	0	0.0	
sample_host	PRJEB67998	Bozzi2024	19	4	0.2105	0	0.0	
sample_host	PRJEB71693		9	1	0.1111	0	0.0	
sample_host	PRJEB74036	Liu2024	21	1	0.0476	0	0.0	
sample_host	PRJEB80877	vonHippel2025	46	0	0.0	0	0.0	
sample_host	PRJNA1037120	Fleskes2024	12	1	0.0833	0	0.0	
sample_host	PRJNA1211513	Schreiber2025	48	0	0.0	0	0.0	
sample_host	PRJNA205039	Campana2014	1	0	0.0	0	0.0	
sample_host	PRJNA230469	Appelt2014	1	1	1.0	0	0.0	
sample_host	PRJNA255922		10	0	0.0	0	0.0	
sample_host	PRJNA302605	Willmann2018	1	0	0.0	0	0.0	
sample_host	PRJNA320875	Graham2016	12	1	0.0833	0	0.0	
sample_host	PRJNA336855		11	0	0.0	0	0.0	
sample_host	PRJNA339123	Bieker2020	2	0	0.0	0	0.0	
sample_host	PRJNA378719	Ahmed2018	2	0	0.0	0	0.0	
sample_host	PRJNA380727		5	0	0.0	0	0.0	
sample_host	PRJNA433935		5	5	1.0	0	0.0	
sample_host	PRJNA445215	Mann2018	12	0	0.0	0	0.0	
sample_host	PRJNA488629	Moore2020	1	0	0.0	0	0.0	
sample_host	PRJNA522291	Moguel2021	2	0	0.0	0	0.0	
sample_host	PRJNA553005		3	0	0.0	0	0.0	
sample_host	PRJNA558683	Armbrecht2020	7	0	0.0	0	0.0	
sample_host	PRJNA573108	Dommain2020	5	0	0.0	0	0.0	
sample_host	PRJNA657304	Witt2021	1	1	1.0	0	0.0	
sample_host	PRJNA680161	Liang2021	2	0	0.0	0	0.0	
sample_host	PRJNA685265	Weyrich2017	1	1	1.0	0	0.0	
sample_host	PRJNA688065	Farrer2021	3	0	0.0	0	0.0	
sample_host	PRJNA704183	Wright2024	4	0	0.0	0	0.0	
sample_host	PRJNA706003		4	4	1.0	0	0.0	
sample_host	PRJNA706195		5	1	0.2	0	0.0	
sample_host	PRJNA739881	Modi2021	1	0	0.0	0	0.0	
sample_host	PRJNA769968		1	0	0.0	0	0.0	
sample_host	PRJNA794308	Perez2022	2	0	0.0	0	0.0	
sample_host	PRJNA799832		2	0	0.0	0	0.0	
sample_host	PRJNA836960	Madison2023	11	11	1.0	0	0.0	
sample_host	PRJNA861836	Armbrecht2022	6	0	0.0	0	0.0	
sample_host	PRJNA862077		1	0	0.0	0	0.0	
sample_host	PRJNA885571	Honap2023	2	0	0.0	0	0.0	
sample_host	PRJNA957541	Perez2023	2	0	0.0	0	0.0	
sample_host	Unknown	MGYS00006821	9	0	0.0	0	0.0	
sample_type	PRJDB5315		1	0	0.0	0	0.0	
sample_type	PRJEB11419		10	10	1.0	0	0.0	
sample_type	PRJEB11511	Maixner2016	1	0	0.0	0	0.0	
sample_type	PRJEB13329	Seersholm2016	13	0	0.0	0	0.0	
sample_type	PRJEB14494	Pedersen2016	5	0	0.0	0	0.0	
sample_type	PRJEB1799	MGYS00002363	4	0	0.0	0	0.0	
sample_type	PRJEB18629	Slon2017	7	0	0.0	0	0.0	
sample_type	PRJEB18722	Bozzi2024	4	0	0.0	0	0.0	
