target,model,dropped_project,n_dropped,f1_without,f1_full
community_type,RandomForest_Bal,PRJNA657304,9,0.5042347577573906,0.49813036596687643
community_type,RandomForest_Bal,PRJNA660212,3,0.49781898075616243,0.49813036596687643
community_type,RandomForest_Bal,PRJNA685265,20,0.4959718174335892,0.49813036596687643
community_type,RandomForest_Bal,PRJNA704183,4,0.4977142484843872,0.49813036596687643
community_type,RandomForest_Bal,PRJNA739881,3,0.49781898075616243,0.49813036596687643
community_type,RandomForest_Bal,PRJNA994900,70,0.48957346733823515,0.49813036596687643
community_type,kNN_5,PRJEB11511,17,0.4822716749315351,0.4730424419614055
community_type,kNN_5,PRJEB30280,9,0.4752909082777341,0.4730424419614055
community_type,kNN_5,PRJEB30331,76,0.46077201979261834,0.4730424419614055
community_type,kNN_5,PRJEB31971,6,0.44738488214467376,0.4730424419614055
community_type,kNN_5,PRJEB34825,38,0.3445498056985101,0.4730424419614055
community_type,kNN_5,PRJEB41240,238,0.44299403757344413,0.4730424419614055
community_type,kNN_5,PRJEB41665,14,0.48831724095701057,0.4730424419614055
community_type,kNN_5,PRJEB44723,8,0.4734650426723984,0.4730424419614055
community_type,kNN_5,PRJEB55789,2,0.4733461521859943,0.4730424419614055
community_type,kNN_5,PRJEB56776,15,0.47328603777504813,0.4730424419614055
community_type,kNN_5,PRJEB58818,2,0.4727793484619035,0.4730424419614055
community_type,kNN_5,PRJEB67998,19,0.4783160869449469,0.4730424419614055
community_type,kNN_5,PRJEB78615,13,0.47628202040124046,0.4730424419614055
community_type,kNN_5,PRJNA1056444,39,0.4711275048387432,0.4730424419614055
community_type,kNN_5,PRJNA302605,5,0.47403537709642274,0.4730424419614055
community_type,kNN_5,PRJNA531027,19,0.47043196979412427,0.4730424419614055
community_type,kNN_5,PRJNA557308,1,0.4729112236679585,0.4730424419614055
