dim	activation_sd	eta2_sample_host	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
117	0.6866925358772278	0.8694303035736084	0.6386614027895655	3.398199216374e-311	0.7261397760927604	0.0	sample_host	0.8694303035736084	0.7261397760927604	False
118	0.5539551377296448	0.21062836050987244	0.5989949995945364	3.1781289041539416e-264	0.6648212066922519	0.0	sample_host	0.21062836050987244	0.6648212066922519	True
119	0.7179986834526062	0.45120546221733093	-0.21857054533261036	9.843922534493964e-31	-0.34654221459094026	1.7614731756268828e-77	sample_host	0.45120546221733093	0.34654221459094026	False
120	0.4810276925563812	0.25078609585762024	0.5244098017047021	8.691484521184814e-192	0.5834525442264412	1.4707670532778446e-247	sample_host	0.25078609585762024	0.5834525442264412	True
121	0.7849228978157043	0.8152356743812561	-0.0020230511529328982	0.9160715839524827	-0.06554620172328234	0.0006306905263759589	sample_host	0.8152356743812561	0.06554620172328234	False
122	0.5964602828025818	0.8372880220413208	0.4345656337105831	1.579849317819728e-125	0.4929966581650708	2.4506420026787273e-166	sample_host	0.8372880220413208	0.4929966581650708	False
123	0.4794045090675354	0.6945996284484863	0.34475030119877703	1.1945398120788558e-76	0.3618832190163131	7.994632648393787e-85	sample_host	0.6945996284484863	0.3618832190163131	False
124	0.25425294041633606	0.6180936098098755	0.5018504996777531	3.045054906322841e-173	0.5250582533636299	2.427204160518836e-192	sample_host	0.6180936098098755	0.5250582533636299	False
125	0.7249312996864319	0.8162705302238464	-0.059308349783397975	0.001986996282837023	-0.08794851360542259	4.427235669935632e-06	sample_host	0.8162705302238464	0.08794851360542259	False
126	0.7599183320999146	0.5404615998268127	0.39985394908676547	8.15272212483823e-105	0.46459368482156704	1.656228656515893e-145	sample_host	0.5404615998268127	0.46459368482156704	False
127	0.6211196780204773	0.6148681640625	-0.20564353991093598	2.5319280365850456e-27	-0.13430914390060056	2.0921772087711753e-12	sample_host	0.6148681640625	0.20564353991093598	False
128	0.6066176891326904	0.8119324445724487	0.6869695707339013	0.0	0.7540296874375894	0.0	sample_host	0.8119324445724487	0.7540296874375894	False
129	0.9926145076751709	0.91115802526474	0.3898119379878706	2.877036359026259e-99	0.4362627124249103	1.3250055563694764e-126	sample_host	0.91115802526474	0.4362627124249103	False
130	0.6795600056648254	0.49895137548446655	0.4493829492406258	3.8937107851762235e-135	0.5120817267310864	1.761708167138366e-181	sample_host	0.49895137548446655	0.5120817267310864	False
131	0.7506130933761597	0.795091450214386	-0.06816790032006134	0.00037785259977895293	-0.15790878282618856	1.2562808731118676e-16	sample_host	0.795091450214386	0.15790878282618856	False
132	1.1446224451065063	0.9188778400421143	0.08291879703174611	1.5129285933567819e-05	0.05837142076349885	0.0023404859222898996	sample_host	0.9188778400421143	0.08291879703174611	False
133	0.7929543256759644	0.5783378481864929	0.4096926888054703	1.9354806732919962e-110	0.5141064070121341	3.821203860498905e-183	sample_host	0.5783378481864929	0.5141064070121341	False
134	0.5595489740371704	0.3674654960632324	0.3544689590644651	3.1810255508277973e-81	0.39439986980005576	8.87674523629352e-102	sample_host	0.3674654960632324	0.39439986980005576	False
135	0.30060476064682007	0.8143838047981262	0.5996088531951247	6.684802293053804e-265	0.6632821539738104	0.0	sample_host	0.8143838047981262	0.6632821539738104	False
136	0.5789212584495544	0.5336201786994934	0.4389006921041835	2.734032673406394e-128	0.4404999524382705	2.5570483200815016e-129	sample_host	0.5336201786994934	0.4404999524382705	False
137	0.42857611179351807	0.6833150386810303	0.047391474527083734	0.013508669236903218	0.037601283964760125	0.0500669687367047	sample_host	0.6833150386810303	0.047391474527083734	False
138	0.746353805065155	0.6955306529998779	-0.15016028133162723	3.641751212490023e-15	-0.23274531879465737	9.853330613026127e-35	sample_host	0.6955306529998779	0.23274531879465737	False
139	0.5973243713378906	0.5239210724830627	0.5162871888022502	5.992019472577994e-185	0.57521185295214	4.4041443073986095e-239	sample_host	0.5239210724830627	0.57521185295214	False
140	0.31748831272125244	0.8951937556266785	-0.2003890848842289	5.319850262077882e-26	-0.2725312818871464	1.840154572308968e-47	sample_host	0.8951937556266785	0.2725312818871464	False
141	0.48667410016059875	0.43099847435951233	-0.3856670999275535	4.932063234918524e-97	-0.4565940829166947	5.4843006675566645e-140	sample_host	0.43099847435951233	0.4565940829166947	False
142	0.439907968044281	0.4172457754611969	0.5926449081568137	2.6362981899884405e-257	0.5887914010429883	3.507346929513976e-253	sample_host	0.4172457754611969	0.5926449081568137	False
143	0.5799220204353333	0.7321801781654358	-0.2950908204882219	1.0509712000305926e-55	-0.4042166844476217	2.7583675054867704e-107	sample_host	0.7321801781654358	0.4042166844476217	False
144	0.6679786443710327	0.747215747833252	-0.19882795817348836	1.2935092424984025e-25	-0.2164104764574009	3.7900589718366064e-30	sample_host	0.747215747833252	0.2164104764574009	False
145	0.5631346106529236	0.8665719032287598	0.07518736862572331	8.775951170923835e-05	0.0888547030412626	3.522576018961868e-06	sample_host	0.8665719032287598	0.0888547030412626	False
146	0.47225144505500793	0.2128189355134964	-0.3570094356928923	1.9051127280511042e-82	-0.37132928286431965	1.4997607872095748e-89	sample_host	0.2128189355134964	0.37132928286431965	False
147	0.37970346212387085	0.8604335188865662	-0.22767416005277427	2.857974796689891e-33	-0.2673472497856102	1.127633039968026e-45	sample_host	0.8604335188865662	0.2673472497856102	False
148	0.380370169878006	0.35120561718940735	-0.28538121405330164	4.6050930364929445e-52	-0.3246524309837282	1.0796053650382607e-67	sample_host	0.35120561718940735	0.3246524309837282	False
149	0.5413629412651062	0.5143404603004456	0.4404640941252576	2.6969506757505705e-129	0.5040795541674266	5.160795268797745e-175	sample_host	0.5143404603004456	0.5040795541674266	False
150	0.8751028180122375	0.5846943259239197	0.23372032812020732	5.109005242948298e-35	0.21275324140928822	3.594028859887027e-29	sample_host	0.5846943259239197	0.23372032812020732	False
151	0.7006003260612488	0.8196359872817993	-0.29995922649661344	1.3849753230023948e-57	-0.3501699443146499	3.516480012219036e-79	sample_host	0.8196359872817993	0.3501699443146499	False
152	0.7286768555641174	0.742802083492279	0.2954061003920831	7.960405403161894e-56	0.3032145628330612	7.308375961020859e-59	sample_host	0.742802083492279	0.3032145628330612	False
153	0.856401801109314	0.44384002685546875	0.45693997304015355	3.18770306715997e-140	0.5110991136162615	1.1202946632901121e-180	sample_host	0.44384002685546875	0.5110991136162615	False
154	1.000977635383606	0.7612903118133545	0.22078335046385997	2.436961815576133e-31	0.182958882836004	7.129277068212321e-22	sample_host	0.7612903118133545	0.22078335046385997	False
155	0.5288968682289124	0.6329057812690735	0.17613633995819136	2.2969434373737245e-20	0.16616795193673092	2.8677498943852363e-18	sample_host	0.6329057812690735	0.17613633995819136	False
156	0.7417112588882446	0.3053784668445587	0.45377561509607867	4.458055486038658e-138	0.49975905699591183	1.3590733761569561e-171	sample_host	0.3053784668445587	0.49975905699591183	False
157	0.6615903973579407	0.7766886949539185	0.2947541789981047	1.4133613874763765e-55	0.23522677134422043	1.8408924211826007e-35	sample_host	0.7766886949539185	0.2947541789981047	False
158	0.4803931713104248	0.7420797944068909	0.42391205174394325	6.562002741936003e-119	0.4984910799393918	1.3421397144941877e-170	sample_host	0.7420797944068909	0.4984910799393918	False
159	0.4091182053089142	0.21735341846942902	0.5757132914077687	1.3644815329157173e-239	0.6137622135498378	6.266111944718829e-281	sample_host	0.21735341846942902	0.6137622135498378	True
160	0.8923287987709045	0.7511371970176697	0.45247617803865275	3.3397633675651865e-137	0.4799267887085713	1.6553375638213426e-156	sample_host	0.7511371970176697	0.4799267887085713	False
161	0.7949342727661133	0.7963758707046509	-0.029165674548737693	0.12861149447705864	-0.06023589049027541	0.0016859306704000594	sample_host	0.7963758707046509	0.06023589049027541	False
162	0.5171933174133301	0.6171262860298157	0.10958508884951088	1.030220964030088e-08	0.013871673681729684	0.4699085739674982	sample_host	0.6171262860298157	0.10958508884951088	False
163	0.5296891331672668	0.9330191612243652	0.5717030115413785	1.5147383146404215e-235	0.5652009722592534	4.185736618076804e-229	sample_host	0.9330191612243652	0.5717030115413785	False
164	0.7842031121253967	0.8076719045639038	-0.11123251164754552	6.162519708823163e-09	-0.09777854263815305	3.2966630676196496e-07	sample_host	0.8076719045639038	0.11123251164754552	False
165	0.28101515769958496	0.18694624304771423	-0.19149047663243546	7.62938759633175e-24	-0.12765899622441054	2.434598174598269e-11	sample_host	0.18694624304771423	0.19149047663243546	False
166	0.6076356172561646	0.7772171497344971	-0.00586472303897032	0.7599827215622876	-0.009517492988942382	0.6200429394845515	sample_host	0.7772171497344971	0.009517492988942382	False
167	0.9372591376304626	0.7089552283287048	0.36089372972019135	2.447817650241011e-84	0.4396135286280844	9.523618232461286e-129	sample_host	0.7089552283287048	0.4396135286280844	False
168	0.44848090410232544	0.3778526484966278	0.1801262254694489	3.0652667750458156e-21	0.20772753130826685	7.3925895401299065e-28	sample_host	0.3778526484966278	0.20772753130826685	False
169	1.080338954925537	0.8364859223365784	0.1162245194959927	1.2408082321817118e-09	0.11444245860996732	2.2161897725121752e-09	sample_host	0.8364859223365784	0.1162245194959927	False
170	0.2935500741004944	0.13431397080421448	-0.24539773677469626	1.5462662424978963e-38	-0.2836584710877329	1.9699990780917065e-51	sample_host	0.13431397080421448	0.2836584710877329	False
171	0.7429667115211487	0.8795613050460815	0.377398081446303	1.1340461512623034e-92	0.3909900295268148	6.577389118820764e-100	sample_host	0.8795613050460815	0.3909900295268148	False
172	0.5234451293945312	0.5128058195114136	0.348092158417282	3.329679809245156e-78	0.39488783239341235	4.773843725245762e-102	sample_host	0.5128058195114136	0.39488783239341235	False
173	0.41921284794807434	0.4738084375858307	-0.1475577965855189	1.0855263698925112e-14	-0.21858427904296995	9.759454433800816e-31	sample_host	0.4738084375858307	0.21858427904296995	False
174	0.3101555109024048	0.933174729347229	-0.018203306143739065	0.34297072516679794	-0.07239136688427483	0.0001594228587578047	sample_host	0.933174729347229	0.07239136688427483	False
175	0.453483909368515	0.5358132719993591	-0.011879672089274628	0.5360158384490725	-0.034233639956517334	0.07445674116043886	sample_host	0.5358132719993591	0.034233639956517334	False
176	0.506864070892334	0.8912179470062256	0.422549039989681	4.433437780204069e-118	0.46036654979048913	1.4266643783743085e-142	sample_host	0.8912179470062256	0.46036654979048913	False
177	0.7807295322418213	0.8669764399528503	-0.15863356597685443	9.088037512439257e-17	-0.2340098154848167	4.201374968538623e-35	sample_host	0.8669764399528503	0.2340098154848167	False
178	0.6804199814796448	0.13804411888122559	-0.3455757281445447	4.953779398444351e-77	-0.38656237228247214	1.6337991970389964e-97	sample_host	0.13804411888122559	0.38656237228247214	True
