archive_accession	Run_accession	sample_type	status	sample_name	project_name	publication_year	geo_loc_name	material	sample_host	community_type	total_runs_for_sample	available_runs_for_sample	unavailable_runs_for_sample	unitig_size_gb	Assay Type	BioProject	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA Study	Type	Isolation source	Avg_read_len	Avg_num_reads	seqstats_contigs_n50	seqstats_contigs_nbseq	seqstats_contigs_maxlen	seqstats_contigs_sumlen	seqstats_unitigs_n50	seqstats_unitigs_maxlen	seqstats_unitigs_sumlen	size_contigs_after_compression	size_contigs_before_compression	size_unitigs_before_compression	size_unitigs_after_compression	sample_title	scientific_name	library_strategy	library_source	isolation_source
	ERR450946	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001086723059415	AMPLICON	PRJEB5758	SAMEA2393432	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417318		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	38.72	33993.0	66.0	11.0	153.0	713.0	36.0	153.0	223827.0	477.0	1238.0	562728.0	101432.0	13B08.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR450958	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000305948778986	AMPLICON	PRJEB5758	SAMEA2393444	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417330		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	38.29	6105.0	37.0	75.0	64.0	2795.0	37.0	100.0	68925.0	1397.0	6682.0	164922.0	29344.0	13F06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451076	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.000115112401545	AMPLICON	PRJEB5758	SAMEA2393562	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417448		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	37.58	24984.0	169.0	1.0	169.0	169.0	35.0	169.0	242702.0	187.0	198.0	615371.0	108509.0	13B09.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451083	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000732047483325	AMPLICON	PRJEB5758	SAMEA2393569	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417455		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.01	20208.0	43.0	18.0	67.0	770.0	37.0	111.0	152908.0	554.0	1693.0	378025.0	68709.0	14B05.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451153	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001097917556762	AMPLICON	PRJEB5758	SAMEA2393639	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417525		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.91	52380.0	197.0	12.0	276.0	1085.0	39.0	276.0	224317.0	591.0	1638.0	571031.0	102963.0	2F04.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451187	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0000602146610617	AMPLICON	PRJEB5758	SAMEA2393673	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417559		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	40.43	24060.0	42.0	37.0	57.0	1510.0	40.0	107.0	126253.0	831.0	3356.0	308820.0	56878.0	14B10.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451202	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001520346850156	AMPLICON	PRJEB5758	SAMEA2393688	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417574		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	38.86	61956.0	204.0	17.0	285.0	1362.0	37.0	285.0	310013.0	695.0	2186.0	791419.0	142150.0	13G01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451384	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				1.5459954738616946e-7	AMPLICON	PRJEB5758	SAMEA2393870	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417756		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	53.67	6.0		0.0		0.0	92.0	92.0	161.0			242.0	197.0	2F06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451393	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001688664779067	AMPLICON	PRJEB5758	SAMEA2393879	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417765		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.01	81509.0	255.0	9.0	325.0	2087.0	37.0	325.0	344711.0	810.0	2348.0	885843.0	158811.0	13B01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
	ERR451424	modern_metagenome	available_unitigs					Skin	Homo sapiens	soft tissue				0.0001252256333827	AMPLICON	PRJEB5758	SAMEA2393910	CCME-COLORADO	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX417796		SINGLE	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2014-06-07T00:00:00Z	ERP005182	mMetagenome	Not applicable	39.26	54682.0	169.0	5.0	204.0	850.0	38.0	204.0	253259.0	426.0	995.0	645672.0	116857.0	13F12.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
