task	fold	tau	n	f1
material	4	0.0	489	0.5039067206800881
material	4	0.1	489	0.5039067206800881
material	4	0.2	489	0.5010898192716374
material	4	0.3	489	0.5010898192716374
material	4	0.4	489	0.5012644889357218
material	4	0.5	489	0.5028955005218384
material	4	0.6	489	0.49224137994314027
material	4	0.7	489	0.49101395129200487
material	4	0.8	489	0.4918166717107014
material	4	0.9	489	0.4890811098295892
material	4	1.0	489	0.4890811098295892
