dim	activation_sd	eta2_feature	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
149	0.29922497272491455	0.4914393424987793	-0.6258953898834828	2.469367329734906e-295	-0.7034011377703402	0.0	feature	0.4914393424987793	0.7034011377703402	True
150	0.4060080051422119	0.8707253336906433	0.054359326035488556	0.0046006546351623325	0.0404918894064629	0.03484636892975571	feature	0.8707253336906433	0.054359326035488556	False
151	0.25217005610466003	0.6865413784980774	-0.21535048616854352	7.305469829597586e-30	-0.358140930440467	5.392061010909815e-83	feature	0.6865413784980774	0.358140930440467	False
152	0.38891229033470154	0.7694451808929443	-0.40028111536958466	4.6884342443280854e-105	-0.3892541253042238	5.774136172789989e-99	feature	0.7694451808929443	0.40028111536958466	False
153	0.41087889671325684	0.8072762489318848	0.6060437799468827	4.344748267266814e-272	0.6869221518765121	0.0	feature	0.8072762489318848	0.6869221518765121	False
154	0.3230498135089874	0.8514682650566101	-0.6036305801470665	2.2517060928574724e-269	-0.6086031320338217	5.4125129640878985e-275	feature	0.8514682650566101	0.6086031320338217	False
155	0.4237932562828064	0.8868448138237	-0.6981861435180974	0.0	-0.7396412002595044	0.0	feature	0.8868448138237	0.7396412002595044	False
156	0.10409071296453476	0.7788885235786438	-0.7798968301004208	0.0	-0.8676556860619468	0.0	feature	0.7788885235786438	0.8676556860619468	False
157	0.5152952671051025	0.737785816192627	0.4933950611535399	1.210289737520867e-166	0.4492086236461994	5.0839271659355165e-135	feature	0.737785816192627	0.4933950611535399	False
158	0.34371110796928406	0.8279057145118713	-0.2594085447362783	5.1681883825708006e-43	-0.32615251158929204	2.4422673992746686e-68	feature	0.8279057145118713	0.32615251158929204	False
159	0.20721232891082764	0.8497796058654785	-0.6278300369119405	1.08760090409025e-297	-0.6133257439008509	2.0113883732201825e-280	feature	0.8497796058654785	0.6278300369119405	False
160	0.4313260018825531	0.7634397745132446	-0.40009613862527166	5.9582388170491e-105	-0.4101977457577531	9.838294368007924e-111	feature	0.7634397745132446	0.4101977457577531	False
161	0.5456883907318115	0.7480378746986389	0.5958218906902673	9.523957830478407e-261	0.6088780420134112	2.6292199938176707e-275	feature	0.7480378746986389	0.6088780420134112	False
162	0.2364099621772766	0.8303436040878296	-0.5036082602154773	1.2252754280232996e-174	-0.48899826280653313	2.7660673808259306e-163	feature	0.8303436040878296	0.5036082602154773	False
163	0.09960072487592697	0.7215089797973633	-0.5300739348559323	1.1459838294302805e-196	-0.5275291348793474	1.8327760553147535e-194	feature	0.7215089797973633	0.5300739348559323	False
164	0.3937581479549408	0.788453996181488	-0.08368996392067489	1.2586153473321782e-05	-0.04483258971861419	0.01946201173274143	feature	0.788453996181488	0.08368996392067489	False
165	0.2121334820985794	0.8221703171730042	-0.5219597951485369	1.050438348155602e-189	-0.43577642956526286	2.6994671514133308e-126	feature	0.8221703171730042	0.5219597951485369	False
166	0.7521638870239258	0.7216393351554871	0.6561188331180874	0.0	0.6769540304763179	0.0	feature	0.7216393351554871	0.6769540304763179	False
