dim	activation_sd	eta2_community_type	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
37	0.4284249544143677	0.03126947209239006	-0.544545547169741	1.4489703640142142e-209	-0.6714245144705043	0.0	community_type	0.03126947209239006	0.6714245144705043	True
38	0.1368790566921234	0.1124734953045845	-0.5629015992247403	7.337468145896999e-227	-0.6963919513407373	0.0	community_type	0.1124734953045845	0.6963919513407373	True
39	4.656579971313477	0.8199502825737	-0.49489528630966895	8.423592513971275e-168	-0.6431987549460179	5.1352027e-317	community_type	0.8199502825737	0.6431987549460179	False
40	0.05474524945020676	0.5509783029556274	0.0009531430105341182	0.9604009525698538	-0.008231775997089562	0.6680608444475835	community_type	0.5509783029556274	0.008231775997089562	False
41	2.6736538410186768	0.7839007377624512	-0.4207930125319288	5.1292713588737e-117	-0.5225466648364119	3.3430289366507423e-190	community_type	0.7839007377624512	0.5225466648364119	False
42	0.16544973850250244	0.12602989375591278	0.4412459999560743	8.429329214905582e-130	0.5092619492923205	3.502516406282241e-179	community_type	0.12602989375591278	0.5092619492923205	True
43	0.07357741892337799	0.44555363059043884	-0.522676266546326	2.595387923929833e-190	-0.66366859967273	0.0	community_type	0.44555363059043884	0.66366859967273	False
44	2.6762475967407227	0.8076702952384949	-0.5366153879705514	2.026495945898215e-202	-0.6503537220084534	0.0	community_type	0.8076702952384949	0.6503537220084534	False
45	2.632805585861206	0.8407117128372192	-0.6031425842032597	7.918093915540442e-269	-0.7204290499939782	0.0	community_type	0.8407117128372192	0.7204290499939782	False
46	0.07819601148366928	0.4689231216907501	-0.6075960746060091	7.576308676345192e-274	-0.7333920347969359	0.0	community_type	0.4689231216907501	0.7333920347969359	True
47	1.5310531854629517	0.5224171876907349	0.3128804407144697	9.390066197473348e-63	0.37509416261606987	1.7680305655720772e-91	community_type	0.5224171876907349	0.37509416261606987	False
48	0.07550479471683502	0.23903381824493408	-0.008116934655044717	0.6724204863952933	-0.03488141117802018	0.06912988582181527	community_type	0.23903381824493408	0.03488141117802018	False
49	3.5010035037994385	0.9137083292007446	-0.39427757420315135	1.0368055233809998e-101	-0.5236738476231859	3.684524350410265e-191	community_type	0.9137083292007446	0.5236738476231859	False
50	1.0032631158828735	0.5151582360267639	0.31259102172843545	1.234004179232099e-62	0.37588365766829485	6.915385431637736e-92	community_type	0.5151582360267639	0.37588365766829485	False
51	1.1605656147003174	0.42219609022140503	0.2999971484512627	1.3386078363143385e-57	0.3622074182646193	5.535991357394082e-85	community_type	0.42219609022140503	0.3622074182646193	False
52	0.7123275995254517	0.53456711769104	-0.4672959308561925	2.0940675258752008e-147	-0.6062553003462444	2.5056325073854768e-272	community_type	0.53456711769104	0.6062553003462444	False
53	0.053382374346256256	0.16228516399860382	-0.2389995909119995	1.383444182021641e-36	-0.34433685135858033	1.854553716002979e-76	community_type	0.16228516399860382	0.34433685135858033	False
54	0.8956269025802612	0.01858174428343773	-0.5604402481117933	1.769733415497024e-224	-0.6710452940989886	0.0	community_type	0.01858174428343773	0.6710452940989886	True
55	1.9350204467773438	0.8113327026367188	-0.335540779941959	1.8381561604977968e-72	-0.3724675893975761	3.941271265769966e-90	community_type	0.8113327026367188	0.3724675893975761	False
56	0.06856385618448257	0.2608311176300049	-0.33686771037041396	4.675607640998436e-73	-0.39380961319946944	1.8771763542603714e-101	community_type	0.2608311176300049	0.39380961319946944	False
57	4.041983127593994	0.7538240551948547	-0.4833688809561198	4.692796936894755e-159	-0.600385016305107	9.26553281734721e-266	community_type	0.7538240551948547	0.600385016305107	False
58	5.290822982788086	0.5495170950889587	-0.4326797327689658	2.44112863601088e-124	-0.5216233533654323	2.022943823541728e-189	community_type	0.5495170950889587	0.5216233533654323	False
59	0.36406460404396057	0.03151450678706169	-0.4453570302205449	1.7715091270461423e-132	-0.5437552285065046	7.617417489158087e-209	community_type	0.03151450678706169	0.5437552285065046	True
60	0.9906430244445801	0.19230692088603973	0.5842254549777137	2.2909963831641815e-248	0.6916906628654621	0.0	community_type	0.19230692088603973	0.6916906628654621	True
61	0.14225542545318604	0.06150425225496292	-0.5019523395670409	2.5291482249881707e-173	-0.5887313161735079	4.06294894819619e-253	community_type	0.06150425225496292	0.5887313161735079	True
62	1.101011037826538	0.849716305732727	0.25691908374641503	3.381402071607946e-42	0.2586103905181838	9.459134599463e-43	community_type	0.849716305732727	0.2586103905181838	False
63	0.033677838742733	0.04502541199326515	-0.2935067315658459	4.221899881978919e-55	-0.3540996477182354	4.77938654998068e-81	community_type	0.04502541199326515	0.3540996477182354	True
