model,split,task,accuracy,balanced_accuracy,f1_macro_seen,f1_weighted,n_classes_seen,f1_macro_eligible,n_classes_eligible,f1_macro_eligible_ci_low,f1_macro_eligible_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,ci_resampling_unit,n_groups,fit_predict_s
MajorityClass,test,material,0.22019464720194648,0.07692307692307693,0.027762865250402637,0.07947204614865866,13,0.027762865250402637,13,0.007145639842431772,0.04997666026570959,0.07692307692307693,0.14285714285714285,group,31,0.8
MajorityClass,train,material,0.526335733232285,0.0625,0.0431045183714002,0.3629991725221667,16,0.049262306710171656,14,0.03347848389422291,0.05944020840621687,0.0625,0.09090909090909091,group,66,
LogisticRegression_Bal,test,material,0.6654501216545012,0.46215105541659385,0.4614807687055782,0.6605339031262141,13,0.4614807687055782,13,0.2647623537693556,0.48678957984266497,0.34844980546505094,0.6820558839544727,group,31,24.7
LogisticRegression_Bal,train,material,0.9609700644183403,0.9839045623222493,0.9385575076369111,0.9629767527498068,16,0.9683072840448047,14,0.6748076761571922,0.9710127007775207,0.9633038769308319,0.9888074110295632,group,66,
LinearSVM_Bal,test,material,0.6788321167883211,0.5073389254457316,0.48679762438816243,0.6583388024271132,13,0.48679762438816243,13,0.27386295582650083,0.5145748778312722,0.38376601842721647,0.729362559632376,group,31,13.6
LinearSVM_Bal,train,material,0.969306555513452,0.9827859002907314,0.9550306047491475,0.9704328377220455,16,0.9706878186380425,14,0.678603433889831,0.9727557458616115,0.9555756423644968,0.9887871333556244,group,66,
RandomForest,test,material,0.5170316301703163,0.38258388149446476,0.3393578239575143,0.41416709971181215,13,0.3393578239575143,13,0.16495399598613375,0.40488890615086104,0.2754177119581593,0.5949536618108008,group,31,2.6
RandomForest,train,material,0.9662751042061387,0.8673158305590452,0.8962116327543272,0.9642583555933241,16,0.9492141805121437,14,0.6655063555702753,0.9487188647356093,0.8287865902194249,0.9361183323168155,group,66,
RandomForest_Bal,test,material,0.5255474452554745,0.39751125718234687,0.3504453270058216,0.4602453916142977,13,0.3504453270058216,13,0.1828910022843049,0.406304607522871,0.29081835394869837,0.6183176823562025,group,31,2.8
RandomForest_Bal,train,material,0.964759378552482,0.9851163061146343,0.9682520984102256,0.9663690868071394,16,0.9696690648497818,14,0.6696282535257279,0.9739165182373605,0.9641053947784589,0.9893492125200214,group,66,
kNN,test,material,0.5437956204379562,0.41451649202588214,0.39627726177894684,0.5035636280687089,13,0.39627726177894684,13,0.2148535876141035,0.4264170602898225,0.31825423318190377,0.5994951835376268,group,31,6.6
kNN,train,material,0.9992421371731717,0.9992722393885185,0.9995900500799213,0.999241303348742,16,0.9995314858056243,14,0.7137831395243697,1.0,0.9976825691325084,1.0,group,66,
